Ack Värmeland,177,A (Dm)
Bacchi calender,116,D (D)
Bort allt vad oro gör,96,C (C)
Dansen går på Svinsta skär,168,D B G G (G)
Das Königslied,62,E (A)
Drink to me only,86,A C A F (F)
Dryckesvisa,66,C Eb Ab Ab (Ab)
Du gamla du fria,10,C# A E A (A)
E du vaken Lars,170,C (C)
En blygsam kärleksförklaring,79,D (Dm)
En hela,24,C# A (A)
En punchafton / En sommarafton,69,F Db Ab Db (Db)
Fair Phyllis,145,F (F)
Fjäriln vingad syns på Haga,114,G B G (G)
For he's a jolly good fellow,188,C (F)
Gammalt mjöd,54,G (C)
Glädjens blomster,178,G D Bb G (Gm)
Goodnight sweetheart,186,D (g)
Gott öl,48,E A (Am)
Gubben Noach ,100,C (C)
Gute Nacht,84,C (Fm)
Gå bro sång,180,G (C)
Halvan,27,Eb (Eb)
Helan går,26,F# D (D)
Här är chalmeristerna,9,E (A)
I kungens sal,56,D (Dm)
Island,32,F (Fm)
Italien,18,C (F)
Ja må han leva,17,F C A F (F)
Joachim uti Babylon,106,F F A F (F)
Juhlallinen olutviisu,49,G (C)
Klinga nu med klarinetter,108,Bb G Bb Bb (Eb)
Kort hyllning till punchen,74,C (C)
Kristallen den fina,94,D (Dm)
Kung Liljekonvalje,128,G (Bb)
Kung Oscars Valspråk,21,C (Cm)
Kungssången,11,F (Bb)
Käraste bröder,110,F (F)
Lustwins visa,64,A (D)
Låt brusa barn låt brusa,140,F# C# C# C# (F#m)
Längtan till landet,120,G D B G (G)
Madrigal,83,Db Ab F Db (Db)
Majsång (O hur härligt),127,Ab Eb C Ab (Ab)
Majsång (Sköna maj),124,D (G)
Man borde inte sova,78,B G# E B (E)
Måsen,43,E (Am)
Nocturne,90,A F C F (F)
Nordisk punchsång / Nordisk studentsång,73,Eb Eb G Eb (Eb)
Osquar,8,E (A)
Pingst,134,G G B D G (G)
Punchen kommer,72,C (F)
Punchen står på bordet,68,G (G)
Ren som en jungfru,44,D B G G (G)
Rövarsången,179,F# C# A# F# (B)
"Serenad (Slumra hulda)",85,C C F Ab (Ab)
Serenad (Stjärnona tindra ren),81,E C A A (Am)
Shall I compare thee,87,E C E A (Am)
Skummande öl,46,E (Bm)
Skänklåt,22,E (Am)
Smedsvisa,160,Bb F D Bb (Bb)
Snappt jagar stormen våra år,148,G (c)
Snappsvisa,34,C (F)
Sommarpsalm,132,E (A)
Stolta stad,118,A C# (A)
Svensk Punchsång,70,C G E C C (C)
Sverige,14,C Ab C Eb Ab (Ab)
Sveriges Flagga,12,G (C)
Så lunka vi så småningom,98,C (F)
Så skimrande var aldrig havet,92,Bb (Eb)
Sång till Stockholm,165,B G# B E (E)
Tersen,30,D (Bb)
Till österland,82,F# (Bm)
Tjuv och tjuv det ska du heta,156,F (Bb)
Tourdion,63,E B G E (Em)
Trygg hos dig,80,D (Am)
Under rönn och syren,138,G E C C (C)
Ur vägen,113,G (D)
Utan dig,76,C A F F (F)
Uti vår hage,136,F C Ab F (Fm)
Vad har du i fickan Jan,183,Ab F C (Ab)
Var redo,113,D (G)
Vårsång (Vårliga vindar draga),122,A F C F (F)
Värmlandsvisan,176,A (Dm)
Ångbåtssång,162,Eb C Ab Ab (Ab)
Än än gång däran,40,C G E C (C)
Ölvisa,49,G (C)
Östermans snapsvisa,42,C (C)
